ID,Tweet,Tanggal,Lokasi
1663021242683916289,"Ada yang Unik saat Jenderal ANDIKA PERKASA Terbang ke Singapura Terima Penghargaan Tertinggi dari Pemerintah SINGAPURA.

Beliau bawa sendiri Tas Ransel miliknya, TANPA minta Staffnya membantu.
#AndikaPerkasa 
#PenghargaanTertinggi
#Singapore 
#Cawapres 
#Cawapres2024 https://t.co/7WRz9BnQAY",2023-05-29 03:15:36,
1662975821592817664,"Nurdin Halid Gagas Silatnas UNM Desember 2023, Undang Figur Capres untuk Didebat 
https://t.co/TQakhCif5g 
#Cawapres #IKAUNM #NurdinHalid #SilatnasUNM",2023-05-29 00:15:07,
1662897353622450177,"Teladan Pasangan Pemimpin
#AndikaPerkasa
#HettyAndikaPerkasa
#Cawapres 
#Cawapres2024 
#earthquake 
#bigstage2023 https://t.co/OpbhgkQl1l",2023-05-28 19:03:18,
1662894859454390272,"Jenderal ANDIKA PERKASA Terima Penghargaan Tertinggi Bidang Militer dan Kerjasama Pertahanan/Keamanan dari Pemerintah Singapura disematkan langsung oleh Presiden Singapura Halimah Yacob
#AndikaPerkasa 
#PenghargaanTertinggi
#Cawapres
#Cawapres2024 https://t.co/eu6xkqMWhu",2023-05-28 18:53:24,
1662866429895667712,#airlanggahartarto #cawapres #teknokrat #religius #golkarindonesia https://t.co/H0IVgeFYzf,2023-05-28 17:00:26,
1662865883101028359,#airlanggahartarto #cawapres #kompeten #berpengalaman #golkarindonesia https://t.co/ZzgvaHy5qC,2023-05-28 16:58:15,
1662864801901711360,#AirlanggaHartarto #GolkarIndonesia #Capres #Cawapres #pemilu2024 @golkar_id @golkarpedia @airlangga_hrt https://t.co/8UJp0Nmfcp,2023-05-28 16:53:57,
1662864694535933952,#AirlanggaHartarto #GolkarIndonesia #Capres #Cawapres #pemilu2024 @golkar_id @golkarpedia @airlangga_hrt https://t.co/bvkl5lcNUQ,2023-05-28 16:53:32,
1662849824100847616,"Dianugerahi PENGHARGAAN TERTINGGI Bidang Kerjasama Militer oleh Presiden Singapura Halimah Yacob.

Beliau Tetap Bawa Tas Ransel miliknya sendiri TANPA Asisten/Staf Pribadi, SAMA Persis saat Jabat sebagai PANGLIMA TNI.
#AndikaPerkasa
#PenghargaanTertinggi
#Cawapres
#Cawapres2024 https://t.co/m5BRf9rn9f",2023-05-28 15:54:26,
1662776291026952192,"Ketua Majelis Pertimbangan PPP, Romahurmuziy alias Rommy mengungkapkan 5 modal yang harus dimiliki oleh sosok calon Wakil Presiden (Cawapres) Ganjar Pranowo.

Simak berita selengkapnya hanya di https://t.co/T06gZsB5zC
#HardNews_Politik #NewsOne #CariBeritaditvOne #PPP #Cawapres #GanjarPranowo",2023-05-28 11:02:15,
1662609514280132608,"Link: https://t.co/1I6qDgynRj

  -Publik hari ini telah melihat secara langsung prestasi atau pengabdian Erick Thohir untuk Indonesia. 

 Berita selengkapnya di strategi (,,,,)

#beritapolitik #cawapres #erickthohir #mentri #bumn #beritaterkini #beritaterbaru #konteks #strategi https://t.co/kdSyqFFuiV",2023-05-27 23:59:32,
1662602606085308416,"Link: https://t.co/A0zoLjojDK
  -pengikut Iwan Fals di akun Twitternya, ternyata nama Erick Thohir menjadi yang paling banyak dipilih sebagai calon wakil presiden (Cawapres) oleh pengikutnya.
#cawapres #politik #erictohir #iwanfals #beritaterupdate #beritaterkini #beritapolitik https://t.co/wO2yrSmoOP",2023-05-27 23:32:05,
1662585979855835137,#AirlanggaHartarto #golkar #Capres2024 #cawapres #pilpres2024 #pemilu2024 https://t.co/td67L4qTJa,2023-05-27 22:26:01,
1662496113587531782,Airlangga Bertemu Zulhas di Amerika Serikat Bahas Sekenario Baru Empat Capres #zulhas #airlangga #PAN #Golkar #golkarindonesia #capres #cawapres #pemilu #gerindra #PDIP #Nasdem #prabowo #ganjar #aniesbaswedan daniel malem minggu sananta jorji 27 mei editan kingdom penting pelaku https://t.co/lEPx4XnSCF,2023-05-27 16:28:55,
1662495485847027717,PSN bukti kinerja ciamik Airlangga Hartarto dulur! #AirlanggaHartarto #GolkarIndonesia #PSN #Cawapres #MalaysiaMasters2023 #MonacoGP #UkraineRussiaWar️ #كلنا_محمد_البكيري #NRLSouthsRaiders #ChaeLisa #DrRomantic3 https://t.co/oIWETuFckl,2023-05-27 16:26:26,
1662495095088881664,Emang gaada lawan nih #airlanggahartarto #golkarindonesia #cawapres #pemiluserentak2024 #rakyat https://t.co/XgYVEHXHsV,2023-05-27 16:24:52,
